epoch,accuracy,loss,val_accuracy,val_loss
0,0.35759755969047546,1.3346704244613647,0.45821326971054077,1.271257996559143
1,0.6241350769996643,1.0116666555404663,0.6340057849884033,0.9200330376625061
2,0.7846664786338806,0.6023813486099243,0.6916426420211792,0.7753516435623169
3,0.8466648459434509,0.427219957113266,0.6887608170509338,0.7786976099014282
4,0.8812621235847473,0.3299664855003357,0.6772334575653076,0.8408260941505432
5,0.9064489603042603,0.27334481477737427,0.6541786789894104,0.910076916217804
6,0.9285911917686462,0.22160780429840088,0.6570605039596558,0.9616217017173767
7,0.9332964420318604,0.1911671906709671,0.6541786789894104,1.0286189317703247
8,0.951287031173706,0.1554879993200302,0.6657060384750366,1.0946627855300903
9,0.9590368270874023,0.1398392617702484,0.6570605039596558,1.141091227531433
10,0.9648491740226746,0.12084229290485382,0.6426513195037842,1.2765427827835083
11,0.9684472680091858,0.10899632424116135,0.6570605039596558,1.2928178310394287
12,0.9681705236434937,0.10428368300199509,0.6541786789894104,1.333767056465149
13,0.9712150692939758,0.09001320600509644,0.639769434928894,1.4035992622375488
14,0.9706615209579468,0.08796507865190506,0.6484149694442749,1.4452247619628906
15,0.975089967250824,0.07811105996370316,0.6340057849884033,1.4781279563903809
16,0.9748131632804871,0.08123528957366943,0.6455331444740295,1.5447195768356323
17,0.972875714302063,0.07172843813896179,0.639769434928894,1.5893335342407227
18,0.9759202599525452,0.071867436170578,0.6484149694442749,1.5646828413009644
19,0.9753667116165161,0.073194220662117,0.6455331444740295,1.5884119272232056
20,0.9778577089309692,0.06515777111053467,0.6426513195037842,1.6349595785140991
21,0.977027416229248,0.06868866086006165,0.6455331444740295,1.587028980255127
22,0.975643515586853,0.06258620321750641,0.6368876099586487,1.6447465419769287
23,0.9778577089309692,0.05986281484365463,0.639769434928894,1.6440229415893555
24,0.976473867893219,0.06333103775978088,0.6340057849884033,1.6420658826828003
